File Version,BWSpec4.11_1
Run Name,
Product Name,
Batch No,
Lot No,
Sample Suppler,
Sample Notes,
Date,2020-01-28 16:20:44
title,BWS465-785S
model,BTC665N-785S-SYS
c code,ZSEN
operator,
pixel_start,0
pixel_end,2047
units,1
show_mode,3
data_mode,0
pixel_mode,0
integration times(ms),1600
integration times unit,1
time_multiply,1
average number,3
spectrometer_type,72
yaxis,1
yaxis_min,-647.6667
yaxis_max,100000
xaxis,0
xaxis_min,0
xaxis_max,2047
pixel_num,2048
coefs_a0,780.724359359056
coefs_a1,0.152953793309328
coefs_a2,-4.371931369938E-06
coefs_a3,-7.21344918101867E-10
coefs_b0,-6096.94032553582
coefs_b1,11.0271324393871
coefs_b2,-0.00664177902259463
coefs_b3,3.22742461167967E-06
coefs_r0,1
coefs_r1,0
coefs_r2,0
coefs_r3,0
coefs_j0,1
coefs_j1,0
coefs_j2,0
coefs_j3,0
enable_coefs_r,0
laser_wavelength,785
laser_powerlevel,70
probe_index,0
probe_name,Probe1
dark_compensate,0
numcoeff_d,7
coefs_d0,0
coefs_d1,1
coefs_d2,0
coefs_d3,0
coefs_d4,0
coefs_d5,0
coefs_d6,0
coefs_d7,0
irradiance_lamp_inttime,1
irradiance_lamp_unitindex,0
Color_Data_Flag,0
Color_StartWL,781
Color_EndWL,781
Color_IncWL,10
power_unit_index,1
photometric_index,0
Illuminant_index,2
observer_index,0
lab_l,0
lab_a,0
lab_b,0
radiometric_flag,0
Data Pretreat_0,
Data Pretreat_1,
Data Pretreat_2,
Data Pretreat_3,
Data Pretreat_4,
Data Pretreat_5,
Data Pretreat_6,
Data Pretreat_7,
Data Pretreat_8,
Data Pretreat_9,
Data Pretreat_10,
Data Pretreat_11,
Data Pretreat_12,
Data Pretreat_13,
Data Pretreat_14,
Data Pretreat_15,
Data Pretreat_16,
Data Pretreat_17,
Data Pretreat_18,
Data Pretreat_19,
Data Pretreat_20,
Data Pretreat_21,
Data Pretreat_22,
Data Pretreat_23,
Data Pretreat_24,
Data Pretreat_25,
Data Pretreat_26,
Data Pretreat_27,
Data Pretreat_28,
Data Pretreat_29,
Pixel,Wavelength,Wavenumber,Raman Shift,Dark,Reference,Raw data #1,Dark Subtracted #1,%TR #1,Absorbance #1,Irradiance (W/cm^2/nm) #1,RelativeIntensityCorrection_Ratio #1,ReferenceMaterialCorrection_Ratio #1,AbsoluteIrradianceCorrection_Ratio #1,
0,780.72,12808.62,-69.76,1112.0000,65535.0000,1173.0000,61.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
1,780.88,12806.11,-67.26,1067.0000,65535.0000,1140.3333,73.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
2,781.03,12803.60,-64.75,1102.0000,65535.0000,1168.0000,66.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
3,781.18,12801.09,-62.24,1057.0000,65535.0000,1190.0000,133.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
4,781.34,12798.59,-59.74,1070.0000,65535.0000,1202.6667,132.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
5,781.49,12796.09,-57.23,1094.0000,65535.0000,1246.3333,152.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
6,781.64,12793.58,-54.73,1077.0000,65535.0000,1270.0000,193.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
7,781.79,12791.08,-52.23,1074.0000,65535.0000,1324.0000,250.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
8,781.95,12788.58,-49.73,1072.0000,65535.0000,1339.0000,267.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
9,782.10,12786.08,-47.23,1049.0000,65535.0000,1457.6667,408.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
10,782.25,12783.58,-44.73,1090.0000,65535.0000,1606.3333,516.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
11,782.41,12781.08,-42.23,1077.0000,65535.0000,1662.3333,585.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
12,782.56,12778.59,-39.73,1071.0000,65535.0000,1666.0000,595.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
13,782.71,12776.09,-37.24,1081.0000,65535.0000,1730.3333,649.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
14,782.86,12773.60,-34.74,1069.0000,65535.0000,1869.6667,800.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
15,783.02,12771.10,-32.25,1082.0000,65535.0000,1998.3333,916.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
16,783.17,12768.61,-29.76,1091.0000,65535.0000,2185.0000,1094.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
17,783.32,12766.12,-27.27,1086.0000,65535.0000,2476.3333,1390.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
18,783.48,12763.63,-24.78,1058.0000,65535.0000,2754.3333,1696.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
